Botanical name,C for coastal,Coastal preference,Description,Common Name,Drainage Preferences,Drought tolerance,Flower description,Frost tolerance,G for groundcover,H for hardiness,Height average,Position preference,D for dappled,Soil type,T for tasmanian,Wet area plant,Average width,Wind resistance,Detailed Description
Hardenbergia violacea,,mild coastal sites,climber or trailing groundcover useful on retainer walls,Purple Coral Pea,very good drainage,drought tolerant,rich violet purple racemes in winter,light frosts only,G,,2.5,part shade to full sun,,light clay to sandy soils,T,,3.0,some wind protection,"Known for its climber or trailing groundcover useful on retainer walls, Purple Coral Pea makes an excellent addition to any garden. climber or trailing groundcover useful on retainer walls. It showcases rich violet purple racemes in winter, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both light frosts only and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 2.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Chrysocephalum apiculatum Helichrysum apiculatum,,mild coastal sites,trailing groundcover for retainer wall attracts butterflies,Common Everlasting,very good drainage,very drought tolerant,yellow flowers in summer,very frost hardy,G,,0.3,prefers full sun,,prefers sandy soils,T,,1.8,wind resistant,"Chrysocephalum apiculatum Helichrysum apiculatum is well-regarded for trailing groundcover for retainer wall attracts butterflies. It showcases yellow flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both very frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.3 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Rhodantha anthemoides Helipterum,,mild coastal sites,silvery contrast - tip prune for a container groundcover border or hanging basket,Camomile Sunray,very good drainage,drought tolerant,pink buds & white daisies in spring,very frost & snow hardy,G,,0.3,part shade to full sun,,prefers sandy soils,T,,0.5,some wind protection,"Camomile Sunray is a remarkable plant admired for silvery contrast - tip prune for a container groundcover border or hanging basket. It showcases pink buds & white daisies in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both very frost & snow hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.3 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hibbertia procumbens,,mild coastal sites,compact border plant for rockery lovely in a container or hanging basket,,moist well drained site,usually tolerates dry periods,bright yellow petals in spring & summer,very frost & snow hardy,,,0.1,part shade to full sun,,light clay to sandy soils,T,,1.0,wind resistant,"Hibbertia procumbens is a remarkable plant admired for compact border plant for rockery lovely in a container or hanging basket. It showcases bright yellow petals in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.1 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hibbertia scandens,,mild coastal sites,very fast growing vine will clamber over other plants,Snake Vine,moist well drained site,usually tolerates dry periods,large yellow flowers summer & autumn,light frosts only,,,1.5,dappled shade,D,prefers sandy soils,,,4.0,some wind protection,"Known for its very fast growing vine will clamber over other plants, Snake Vine makes an excellent addition to any garden. very fast growing vine will clamber over other plants. It showcases large yellow flowers summer & autumn, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both light frosts only and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.5 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hibbertia stricta,,mild coastal sites,may be used as a container plant prune often,Erect Guinea Flower,moist well drained site,usually tolerates dry periods,bright yellow flowers in spring,very frost hardy,,,0.75,prefers full sun,,light clay to sandy soils,,,0.8,some wind protection,"Hibbertia stricta is well-regarded for may be used as a container plant prune often. It showcases bright yellow flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.75 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hypocalymma cordifolium,C,moderate coastal exposure,fast growing groundcover - cut flowers prune hard for new growth,,good drainage,usually tolerates dry periods,white flower on stems winter & spring,frost hardy,G,,0.3,part shade to full sun,,light clay to sandy soils,,,1.5,protect from strong winds,"Hypocalymma cordifolium is a remarkable plant admired for fast growing groundcover - cut flowers prune hard for new growth. It showcases white flower on stems winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.3 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Hypocalymma Golden Veil cordifolium variegated,,mild coastal sites,groundcover - cut flowers & foliage contrast leaves - tip prune,H. cordifolium hybrid,good drainage,usually tolerates dry periods,white flower on stems in spring,frost hardy,G,,0.3,part shade to full sun,,light clay to sandy soils,,,1.5,protect from strong winds,"Known for its groundcover - cut flowers & foliage contrast leaves - tip prune, H. cordifolium hybrid makes an excellent addition to any garden. groundcover - cut flowers & foliage contrast leaves - tip prune. It showcases white flower on stems in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.3 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Indigofera australis,,mild coastal sites,very fast growth - prune after flowering attracts butterflies,Austral Indigo,good drainage,drought tolerant,purple flowers in spring,frost hardy,,,1.5,part shade to full sun,,light clay to sandy soils,T,,2.0,some wind protection,"Indigofera australis is well-regarded for very fast growth - prune after flowering attracts butterflies. It showcases purple flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Isopogon formosus,C,moderate coastal exposure,cut flowers - tip prune for a container good bird attracting plant,Rose Cone Flower,very good drainage,drought tolerant,large rich magenta pink flowers in spring,frost hardy,,,1.5,prefers full sun,,prefers sandy soils,,,1.4,some wind protection,"Isopogon formosus is well-regarded for cut flowers - tip prune for a container good bird attracting plant. It showcases large rich magenta pink flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.5 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
